objectid,borough,tree_name,age_group,height_m
668375,Newham,Maple,Young (0-15),0.04
665351,Newham,Sycamore,Young (0-15),0.2
681266,Newham,Whitebeam,Young (0-15),0.2
680805,Newham,Ash,Young (0-15),0.5
621731,Newham,Rowan,Young (0-15),1
664333,Newham,Cherry,Young (0-15),1
664428,Newham,Lime,Young (0-15),1
664670,Newham,Hornbeam,Young (0-15),1
664824,Newham,Ash,Young (0-15),1
664982,Newham,Lime,Young (0-15),1
665532,Newham,Cherry,Young (0-15),1
665876,Newham,Rowan,Young (0-15),1
666263,Newham,Alder,Young (0-15),1
665902,Newham,Cherry,Young (0-15),1
666496,Newham,Rowan,Young (0-15),1
667184,Newham,Hornbeam,Young (0-15),1
667186,Newham,Rowan,Young (0-15),1
667308,Newham,Ash,Young (0-15),1
667362,Newham,Apple,Young (0-15),1
667823,Newham,Cherry,Young (0-15),1
667961,Newham,Cherry,Young (0-15),1
668058,Newham,Cherry,Young (0-15),1
669219,Newham,Whitebeam,Young (0-15),1
669422,Newham,Cherry,Young (0-15),1
670588,Newham,Apple,Young (0-15),1
670589,Newham,Cherry,Young (0-15),1
670590,Newham,Maple,Young (0-15),1
671017,Newham,Apple,Young (0-15),1
671182,Newham,Maple,Young (0-15),1
672118,Newham,Other,Young (0-15),1
672126,Newham,Other,Young (0-15),1
672127,Newham,Other,Young (0-15),1
672999,Newham,Rowan,Young (0-15),1
673000,Newham,Rowan,Young (0-15),1
673132,Newham,Sycamore,Young (0-15),1
674598,Newham,Rowan,Young (0-15),1
674737,Newham,Other,Young (0-15),1
674968,Newham,Other,Young (0-15),1
675139,Newham,Cherry,Young (0-15),1
675180,Newham,Hawthorn,Young (0-15),1
675228,Newham,Rowan,Young (0-15),1
675285,Newham,Hawthorn,Young (0-15),1
675835,Newham,Cherry,Young (0-15),1
675963,Newham,Alder,Young (0-15),1
676586,Newham,Maple,Young (0-15),1
676599,Newham,Maple,Young (0-15),1
676710,Newham,Rowan,Young (0-15),1
676735,Newham,Other,Young (0-15),1
676736,Newham,Other,Young (0-15),1
676739,Newham,Sycamore,Young (0-15),1
676758,Newham,Other,Young (0-15),1
676797,Newham,Apple,Young (0-15),1
676862,Newham,Maple,Young (0-15),1
676865,Newham,Hawthorn,Young (0-15),1
677227,Newham,Cherry,Young (0-15),1
677379,Newham,Cherry,Young (0-15),1
677402,Newham,Cherry,Young (0-15),1
677563,Newham,Plane,Young (0-15),1
677819,Newham,Other,Young (0-15),1
677854,Newham,Rowan,Young (0-15),1
677858,Newham,Birch,Young (0-15),1
677881,Newham,Maple,Young (0-15),1
678309,Newham,Rowan,Young (0-15),1
678390,Newham,Cherry,Young (0-15),1
678401,Newham,Maple,Young (0-15),1
679188,Newham,Hawthorn,Young (0-15),1
679842,Newham,Cherry,Young (0-15),1
680638,Newham,Birch,Young (0-15),1
681932,Newham,Birch,Young (0-15),1
682470,Newham,Horse chestnut,Young (0-15),1
682599,Newham,Rowan,Young (0-15),1
684487,Newham,Willow,Young (0-15),1
684858,Newham,Maple,Young (0-15),1
685063,Newham,Rowan,Young (0-15),1
675313,Newham,Whitebeam,Young (0-15),1.1
665421,Newham,Whitebeam,Young (0-15),1.2
667030,Newham,Maple,Young (0-15),1.2
667219,Newham,Whitebeam,Young (0-15),1.3
672965,Newham,Rowan,Young (0-15),1.3
676726,Newham,Whitebeam,Young (0-15),1.3
668272,Newham,Whitebeam,Young (0-15),1.5
668571,Newham,Maple,Young (0-15),1.5
669265,Newham,Other,Young (0-15),1.5
681000,Newham,Plane,Young (0-15),1.5
681001,Newham,Cherry,Young (0-15),1.5
684944,Newham,Pear,Young (0-15),1.7
684969,Newham,Other,Young (0-15),1.7
680425,Newham,Other,Young (0-15),1.8
621713,Newham,Maple,Young (0-15),2
663957,Newham,Whitebeam,Young (0-15),2
664010,Newham,Cherry,Young (0-15),2
664430,Newham,Apple,Young (0-15),2
664601,Newham,Sycamore,Young (0-15),2
664872,Newham,Other,Young (0-15),2
664874,Newham,Other,Young (0-15),2
664875,Newham,Other,Young (0-15),2
664876,Newham,Other,Young (0-15),2
664878,Newham,Other,Young (0-15),2
664879,Newham,Other,Young (0-15),2
665183,Newham,Other,Young (0-15),2
665913,Newham,Maple,Young (0-15),2
666250,Newham,Plane,Young (0-15),2
666471,Newham,Other,Young (0-15),2
666473,Newham,Other,Young (0-15),2
666750,Newham,Apple,Young (0-15),2
667504,Newham,Hornbeam,Young (0-15),2
667769,Newham,Sycamore,Young (0-15),2
667784,Newham,Whitebeam,Young (0-15),2
668133,Newham,Other,Young (0-15),2
668211,Newham,Elm,Young (0-15),2
668383,Newham,Other,Young (0-15),2
668384,Newham,Other,Young (0-15),2
668492,Newham,Other,Young (0-15),2
668966,Newham,Other,Young (0-15),2
668970,Newham,Other,Young (0-15),2
669015,Newham,Pear,Young (0-15),2
669016,Newham,Other,Young (0-15),2
669021,Newham,Other,Young (0-15),2
669027,Newham,Other,Young (0-15),2
669089,Newham,Whitebeam,Young (0-15),2
669138,Newham,Cherry,Young (0-15),2
669283,Newham,Sycamore,Young (0-15),2
669288,Newham,Ash,Young (0-15),2
669318,Newham,Ash,Young (0-15),2
669590,Newham,Whitebeam,Young (0-15),2
669703,Newham,Other,Young (0-15),2
669763,Newham,Apple,Young (0-15),2
669767,Newham,Lime,Young (0-15),2
669929,Newham,Maple,Young (0-15),2
669930,Newham,Whitebeam,Young (0-15),2
669982,Newham,Cherry,Young (0-15),2
669983,Newham,Cherry,Young (0-15),2
669984,Newham,Cherry,Young (0-15),2
669985,Newham,Cherry,Young (0-15),2
670075,Newham,Pine,Young (0-15),2
670336,Newham,Birch,Young (0-15),2
670338,Newham,Birch,Young (0-15),2
670545,Newham,Other,Young (0-15),2
670758,Newham,Cherry,Young (0-15),2
670904,Newham,Apple,Young (0-15),2
671353,Newham,Maple,Young (0-15),2
671578,Newham,Whitebeam,Young (0-15),2
671586,Newham,Whitebeam,Young (0-15),2
672121,Newham,Other,Young (0-15),2
672134,Newham,Other,Young (0-15),2
672369,Newham,Whitebeam,Young (0-15),2
672467,Newham,Other,Young (0-15),2
672698,Newham,Other,Young (0-15),2
673023,Newham,Pear,Young (0-15),2
673033,Newham,Cherry,Young (0-15),2
674485,Newham,Other,Young (0-15),2
674637,Newham,Other,Young (0-15),2
674773,Newham,Pear,Young (0-15),2
674798,Newham,Maple,Young (0-15),2
674845,Newham,Hornbeam,Young (0-15),2
675101,Newham,Other,Young (0-15),2
675322,Newham,Birch,Young (0-15),2
